participant_code,card_code,study_day,daily_review_index,first_ease,last_ease,last_scheduled_interval_days,next_gap_days,next_first_ease,scheduler_encoding
P01,C081,6,2,3,3,2.0,1.7946559953703702,3.0,mixed
P01,C081,8,3,3,3,4.0,4.507705810185185,1.0,mixed
P01,C081,12,4,1,1,0.0069444444444444,1.0471076967592592,3.0,mixed
P01,C082,5,1,2,3,2.0,2.058416631944444,3.0,mixed
P01,C083,5,1,3,3,3.0,2.6378994675925926,3.0,mixed
P01,C084,5,1,1,3,1.0,0.8442572916666666,3.0,mixed
P01,C084,6,2,3,3,2.0,1.791797662037037,3.0,mixed
P01,C084,8,3,3,3,4.0,4.50923394675926,3.0,mixed
P01,C085,5,1,3,3,2.0,2.057142743055556,3.0,mixed
P01,C085,7,2,3,3,6.0,6.157051631944445,3.0,mixed
P01,C086,5,1,1,3,1.0,0.8229674768518519,3.0,mixed
P01,C086,6,2,3,3,2.0,1.818371689814815,1.0,mixed
P01,C086,8,3,1,1,0.0069444444444444,1.2038359837962964,3.0,mixed
P01,C086,9,4,3,3,2.0,2.1387881944444445,3.0,mixed
P01,C087,5,1,1,3,1.0,0.8373389699074074,2.0,mixed
P01,C087,6,2,2,2,2.0,1.786037210648148,3.0,mixed
P01,C088,5,1,1,3,1.0,0.8087434143518518,1.0,mixed
P01,C088,6,2,1,1,0.0069444444444444,1.2323290046296296,3.0,mixed
P01,C088,7,3,3,3,2.0,1.793772997685185,3.0,mixed
P01,C089,5,1,3,3,3.0,2.631606493055556,3.0,mixed
P01,C090,5,1,3,3,5.0,5.065603587962963,3.0,mixed
P01,C091,5,1,1,3,1.0,0.8290736921296297,3.0,mixed
P01,C091,6,2,3,3,5.0,5.134488773148148,3.0,mixed
P01,C092,5,1,3,3,5.0,5.053422060185185,2.0,mixed
P01,C093,5,1,3,3,3.0,2.6228471296296294,3.0,mixed
P01,C094,5,1,1,3,1.0,0.8070008101851851,3.0,mixed
P01,C094,6,2,3,3,5.0,5.155500428240741,2.0,mixed
P01,C095,5,1,3,3,5.0,5.056316666666667,2.0,mixed
P01,C096,5,1,1,3,1.0,0.8229154513888889,3.0,mixed
P01,C096,6,2,3,3,5.0,5.1453695254629634,2.0,mixed
P01,C097,5,1,3,3,5.0,5.048356898148149,1.0,mixed
P01,C097,10,2,1,1,0.0069444444444444,0.9160933217592592,3.0,mixed
P01,C098,5,1,2,3,2.0,2.02513369212963,3.0,mixed
P01,C099,5,1,3,3,3.0,2.612554583333333,3.0,mixed
P01,C100,6,1,3,3,5.0,5.1419838194444445,3.0,mixed
P02,C001,1,1,2,3,1.0,1.0578295486111111,2.0,mixed
P02,C001,2,2,2,2,6.0,5.643760069444444,2.0,mixed
P02,C002,1,1,2,3,1.0,1.0880708101851853,3.0,mixed
P02,C002,2,2,3,3,10.0,9.660741099537036,3.0,mixed
P02,C003,1,1,1,3,1.0,1.0895052199074076,2.0,mixed
P02,C003,2,2,2,2,2.0,1.683510949074074,4.0,mixed
P02,C003,4,3,4,4,9.0,8.938009837962964,3.0,mixed
P02,C004,1,1,1,3,1.0,1.086686400462963,3.0,mixed
P02,C004,2,2,3,3,3.0,2.678619305555556,2.0,mixed
P02,C004,5,3,2,2,8.0,7.943626238425926,3.0,mixed
P02,C005,1,1,1,4,4.0,3.7745897453703705,4.0,mixed
P02,C005,5,2,4,4,8.0,7.925422199074074,3.0,mixed
P02,C006,1,1,1,4,3.0,2.766024259259259,2.0,mixed
P02,C006,4,2,2,2,8.0,7.975288333333333,1.0,mixed
P02,C006,12,3,1,1,0.0069444444444444,1.9672206712962963,4.0,mixed
P02,C007,1,1,1,3,1.0,1.095069861111111,3.0,mixed
P02,C007,2,2,3,3,4.0,3.6222709375,2.0,mixed
P02,C008,1,1,1,3,1.0,1.064785162037037,1.0,mixed
P02,C008,2,2,1,1,0.0069444444444444,1.6829798842592592,3.0,mixed
P02,C008,4,3,3,3,2.0,2.0197440625,4.0,mixed
P02,C008,6,4,4,4,8.0,7.932989178240741,4.0,mixed
P02,C009,1,1,1,3,1.0,1.0573438657407406,2.0,mixed
P02,C009,2,2,2,2,3.0,2.699369814814814,2.0,mixed
P02,C009,5,3,2,2,7.0,6.981181435185185,2.0,mixed
P02,C010,1,1,1,4,5.0,4.779507187499999,2.0,mixed
P02,C010,6,2,2,2,8.0,7.93390806712963,2.0,mixed
P02,C011,1,1,1,3,1.0,1.068598113425926,2.0,mixed
P02,C011,2,2,2,2,2.0,1.661016030092593,4.0,mixed
P02,C012,1,1,1,3,1.0,1.0387844097222223,3.0,mixed
P02,C012,2,2,3,3,5.0,4.699141087962963,4.0,mixed
P02,C013,1,1,1,3,1.0,1.0351680092592592,2.0,mixed
P02,C013,2,2,2,2,2.0,1.6965669675925923,3.0,mixed
P02,C013,4,3,3,3,7.0,7.02306681712963,1.0,mixed
P02,C013,11,4,1,1,0.0069444444444444,1.937271087962963,1.0,mixed
P02,C013,13,5,1,1,0.0069444444444444,0.997022476851852,4.0,mixed
